region,year,RD,GRP,Wage,Unemp,ExpSci,HEdu,Stu,Bed,SO2,Green,Lib
Yunnan,2019,8380,37020.95238,75701,3.4,0.904357674,79,91.09792961,6.03,38.44,11.85,151
Tibet,2019,549,42954.36047,116015,2.8,0.412040514,7,71.77616279,4.88,0.35,8.71,81
Shaanxi,2019,31382,63246.16977,71983,3.2,1.644903101,95,174.4549689,6.57,27.94,11.76,111
Gansu,2019,7534,31270.64846,70695,2.8,0.682355,49,111.1346227,6.17,25.88,13.65,103
Qinghai,2019,1167,47516.25207,85379,3.0,0.776967762,12,65.41956882,6.49,9.24,11.45,51
Ningxia,2019,708,53854.36047,78384,3.9,2.397361634,19,117.7732558,5.96,20.75,20.38,27
Xinjiang,2019,4592,49051.38721,75457,2.4,0.842901176,50,77.92239646,7.19,41.82,14.31,107
Beijing,2020,125390,164212.071,166803,1.3,5.850551889,93,244.854689,5.93,0.47,16.40,23
Tianjin,2020,9962,90296.2868,108002,3.5,3.091646957,56,230.4078105,4.37,2.37,9.21,29
Hebei,2020,11732,46238.8303,72956,3.1,1.09158218,122,108.3929136,5.66,40.22,14.29,173
Shanxi,2020,5718,45660.177,69551,2.7,1.225279997,82,138.3325288,5.86,41.44,12.63,128
Inner Mongolia,2020,3901,67765.8661,80563,3.7,0.558527792,53,104.2917323,6.34,39.79,18.71,117
Liaoning,2020,16005,57236.7877,72891,4.2,1.288578595,115,160.1096048,7.21,39.57,11.97,130
Jilin,2020,9011,43577.9264,73813,3.1,0.996079747,62,183.3656633,6.33,15.70,12.54,66
Heilongjiang ,2020,7224,36290.8025,68416,3.5,0.841255018,81,144.5169288,7.00,22.74,12.43,110
Shanghai,2020,36405,157147.117,149377,3.6,4.762521885,64,161.1622735,6.03,1.46,8.73,23
Jiangsu,2020,29191,123459.133,96527,3.0,4.549550445,167,141.2488228,6.39,38.32,14.98,117
Zhejiang,2020,10975,106584.171,99654,2.5,5.133377698,108,108.7439316,5.99,11.40,14.03,103
Anhui,2020,12115,58300.3142,79037,2.6,5.11280779,120,106.7990889,5.46,20.97,14.80,127
Fujian,2020,6165,106707.777,81814,3.5,2.627251656,90,130.4042285,5.09,11.78,15.03,94
Jiangxi,2020,6461,53059.3656,73725,2.9,2.864032066,103,121.7411059,5.72,32.17,14.53,114
Shandong,2020,14237,70573.5154,81446,3.3,2.846990994,146,109.4145978,6.25,47.25,17.57,154
Henan,2020,14754,56285.4772,67268,3.2,2.076657356,141,124.1893154,6.64,16.44,13.59,164
Hubei,2020,13603,77321.2586,79303,2.4,4.005917034,128,150.7506327,6.80,18.07,11.96,116
Hunan,2020,7833,57461.8676,74316,2.7,2.139793538,125,108.1792426,7.32,22.82,11.81,141
Guangdong,2020,24335,93456.358,98889,2.3,6.756851285,154,100.6690391,4.73,19.72,18.13,146
Guangxi,2020,5413,42816.8145,76479,2.6,1.236207392,78,105.3875,5.59,11.58,13.52,116
Hainan,2020,2446,56179.1534,82227,2.3,1.619498547,20,125.6518519,5.27,1.23,10.57,24
Chongqing,2020,11142,75562.644,86559,2.6,1.634390059,65,150.5448143,7.42,12.89,16.61,43
Sichuan,2020,41203,55660.6806,83367,3.3,1.787272532,126,112.7375522,7.54,26.38,14.03,206
Guizhou,2020,4864,46285.7853,83298,3.1,1.918557543,72,102.4380348,7.31,40.70,16.38,98
Yunnan,2020,8332,47805.1667,86585,3.3,0.871480291,81,96.90736929,6.42,26.49,11.88,151
Tibet,2020,698,48370.9402,118118,2.9,0.33276197,7,72.74358974,4.87,1.25,9.80,81
Shaanxi,2020,32993,66545.8462,78361,3.2,1.248225065,95,178.8539732,6.86,19.90,11.62,111
Gansu,2020,7263,32936.5319,73607,3.0,0.743749367,49,112.1956932,6.84,14.44,14.28,104
Qinghai,2020,1182,48782.0724,90929,2.2,0.556428982,12,69.29276316,6.82,6.08,11.93,52
Ningxia,2020,725,53934.964,83947,3.7,2.173414263,19,121.381295,5.90,16.00,21.05,27
Xinjiang,2020,4044,53892.6278,79421,2.1,0.767756124,54,83.54379707,7.39,34.63,14.88,107
